1,회상,32315721,,dVDSogqs-HM,정경호,슬기로운 의사생활 시즌2 OST Part 9,https://image.bugsm.co.kr/album/images/500/204160/20416040.jpg,32315721,03:56,"길을 걸었지
누군가 옆에 있다고
느꼈을 때
나는 알아 버렸네
이미 그대 떠난 후라는 걸
나는 혼자 걷고 있던 거지
갑자기 바람이 차가와지네
마음은 얼고
나는 그곳에 서서
조금도 움직일 수 없었지
마치 얼어 버린 사람처럼
나는 놀라 서 있던 거지
달빛이 숨어 흐느끼고 있네
우 떠나 버린 그 사람
우 생각나네
우 돌아선 그 사람
우 생각나네
묻지 않았지
왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔 수 없었지
미운 건 오히려 나였어
우 떠나 버린 그 사람
우 생각나네
우 돌아선 그 사람
우 생각나네
묻지 않았지
왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔 수 없었지
미운 건 오히려 나였어
미운 건 오히려 나였어"
2,Bad Habits,81412625,,peduX3Ivqnk,Ed Sheeran(에드 시런),Visiting Hours,https://image.bugsm.co.kr/album/images/500/157963/15796389.jpg,81412625,03:51,"


(One two three four)
Ooh ooh
Every time you come around
You know I can't say no
Every time the sun goes down
I let you take control
I can feel the paradise
Before my world implodes
And tonight I had something wonderful
My bad habits lead to late nights
Endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last
But it probably won't
I got nothin' left to lose or use or do
My bad habits lead to
Wide eyes stare into space
And I know I'll lose control
Of the things that I say
Yeah I was lookin' for a way out
Now I can't escape
Nothin' happens after two
It's true it's true
My bad habits lead to you
Ooh ooh ooh ooh
My bad habits lead to you
Ooh ooh ooh ooh
My bad habits lead to you
Every pure intention ends
When the good times start
Fallin' over everything
To reach the first time's spark
It started under neon lights
And then it all got dark
I only know how to go too far
My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last
But it probably won't
I got nothin' left to lose or use or do
My bad habits lead to
Wide eyes stare into space
And I know I'll lose control
Of the things that I say
Yeah I was lookin' for a way out
Now I can't escape
Nothin' happens after two it's true, it's true
My bad habits lead to you
Ooh ooh ooh ooh
My bad habits lead to you
Ooh ooh ooh ooh
We took the long way 'round
And burned 'til the fun ran out now
My bad habits lead to late nights, endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last
But it probably won't
I got nothin' left to lose or use or do
My bad habits lead to
Wide eyes stare into space
And I know I'll lose control
Of the things that I say
Yeah I was lookin' for a way out
Now I can't escape
Nothin' happens after two it's true it's true
My bad habits lead to you
Ooh ooh ooh ooh
My bad habits lead to you
Ooh ooh ooh ooh
My bad habits lead to you..


...*"
5,넌 좋은 사람,6119778,,LsOSeaNZFD8,SG워너비,넌 좋은 사람,https://image.bugsm.co.kr/album/images/500/40565/4056520.jpg,6119778,04:07,"평생 살아가다 수 많은 인연
그 중에 너를 만난 건
어떤 말로도 어떤 표현도 전할 수 없어 난
가만히 널 바라보면서
너의 손을 잡고서
우리가 함께한 시간들로
너를 위한 노래할게
바라만봐도 넌 좋은 사람
행복해서 눈물 나는 사람
너는 나에게 전부가 되고
선물같은 하루를 주고
괜히 울컥해지는
눈물나는 날에는
언제나 내 곁에 기대어 넌 편히 쉬면 돼
때론 아플때마다
날 안아준 너로 인해 버텨냈어
별 볼 일 없던 하루가 왠지
특별해지니까
나의 품에서 오래오래
마음껏 사랑받길
한없이 너에게 주고 싶어
너를 안아주고 싶어 MY LOVE
바라만봐도 넌 좋은 사람
행복해서 눈물 나는 사람
너는 나에게 전부가 되고
선물같은 하루를 주고
괜히 울컥해지는
눈물나는 날에는
언제나 내 곁에 기대어 넌 편히 쉬면 돼
오랜 시간이 지나
내 옆에 미소 띤 한사람
너라면 좋겠어
나에겐 첫 사람 너이니까 약속해
I wanna love with you everyday
I'll be there for you
별처럼 빛나는 그런 사람
나를 빛나게 만드는 사람
사랑 그대로의 사랑으로
너를 영원히 지켜줄게
세상에 소리쳐
너를 사랑한다는 그말
너라서 고마워 나에게 선물 같은 사람
내 곁에서 날 믿어주는 넌 좋은 사람"
6,기억을 걷는 시간,1552545,,8vL_nWjFTPk,넬(NELL),멀어지다  ,https://image.bugsm.co.kr/album/images/500/1560/156040.jpg,1552545,05:13,"아직도 너의 소리를 듣고
아직도 너의 손길을 느껴
오늘도 난 너의 흔적 안에 살았죠
아직도 너의 모습이 보여
아직도 너의 온기를 느껴
오늘도 난 너의 시간 안에 살았죠
길을 지나는 어떤 낯선 이의
모습 속에도
바람을 타고 쓸쓸히 춤추는
저 낙엽 위에도
뺨을 스치는 어느 저녁에
그 공기 속에도
내가 보고 듣고 느끼는 모든것에
니가 있어 그래
어떤가요 그댄 어떤가요 그댄
당신도 나와 같나요
어떤가요 그댄
지금도 난 너를 느끼죠
이렇게 노랠 부르는 지금 이 순간도
난 그대가 보여
내일도 난 너를 보겠죠
내일도 난 너를 듣겠죠
내일도 모든게 오늘 하루와 같겠죠
길을 지나는 어떤 낯선 이의
모습 속에도
바람을 타고 쓸쓸히 춤추는
저 낙엽 위에도
뺨을 스치는 어느 저녁에
그 공기 속에도
내가 보고 듣고 느끼는 모든것에
니가 있어 그래
어떤가요 그댄 어떤가요 그댄
당신도 나와 같나요
어떤가요 그댄
길가에 덩그러니 놓여진
저 의자 위에도
물을 마시려 무심코 집어든
유리잔 안에도
나를 바라보기 위해
마주한 그 거울 속에도
귓가에 살며시 내려앉은
음악 속에도 니가 있어
어떡하죠 이젠 어떡하죠 이젠
그대는 지웠을텐데
어떡하죠 이제 우린
(랄라라 라랄라랄라)
(랄라라 라랄라랄라)
(랄라라 라랄라랄라)
어떡하죠 이젠
(랄라라 라랄라랄라)
(랄라라 라랄라랄라)
(랄라라 라랄라랄라라)
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸 눈시울이 붉어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸만 가슴이 미어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸 눈시울이 붉어져
어떡하죠 이젠
그리움의 문을 열고
너의 기억이 날 찾아와
자꾸만 가슴이 미어져
어떡하죠 이젠
(랄라라 라랄라랄라)
(랄라라 라랄라랄라)
(랄라라 라랄라랄라)"
7,Next Level,32235760,,dly3BvtmXbA,aespa,Next Level,https://image.bugsm.co.kr/album/images/500/203973/20397321.jpg,32235760,03:41,"I'm on the Next Level Yeah
절대적 룰을 지켜
내 손을 놓지 말아
결속은 나의 무기
광야로 걸어가
알아 네 Home ground
위협에 맞서서
제껴라 제껴라 제껴라
상상도 못한 Black out
유혹은 깊고 진해
(Too hot too hot)
맞잡은 손을 놓쳐
난 절대 포기 못해
I'm on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라
La la la la la la
La la la la la la
La la la la la la
La la la la la
I see the NU EVO.
적대적인 고난과 슬픔은
널 더 Popping 진화시켜
That's my naevis It's my naevis
You lead, we follow
감정들을 배운 다음
Watch me while I make it out
Watch me while I work it out
Watch me while I make it out
Watch me while I work it out
Work it work it work it out
감당할 수 없는 절망도
내 믿음을 깨지 못해
더 아픈 시련을 맞아도
난 잡은 손을 놓지 않을게 Oh
절대로 뒤를 돌아보지 말아
광야의 것 탐내지 말아
약속이 깨지면
모두 걷잡을 수 없게 돼
언제부턴가 불안해져 가는 신호
널 파괴하고 말 거야
(We want it)
Come on
Show me the way to KOSMO Yeah
Black Mamba가 만들어낸 환각 퀘스트
aespa, ae를 분리시켜놓길 원해 그래
중심을 잃고 목소리도 잃고 비난받고
사람들과 멀어지는 착각 속에
naevis 우리 ae, ae 들을 불러봐
aespa의 Next Level P.O.S를 열어봐
이건 REAL WORLD 깨어났어
We against the villain
What's the name?
Black Mamba
결국 난 문을 열어
그 빛은 네겐 Fire
(Too hot too hot)
난 궁금해 미치겠어
이다음에 펼칠 Story
Huh
I'm on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라
I'm on the Next Level
더 강해져 자유롭게
Next Level
난 광야의 내가 아냐
Next Level
야수 같은 나를 느껴
Next Level
제껴라 제껴라 제껴라
Huh"
8,Love On Top,2379929,,M8MrF-dNzzs,Beyoncé(비욘세),4,https://image.bugsm.co.kr/album/images/500/2915/291542.jpg,2379929,04:27,"Bring the beat in
Honey honey
I can see the stars all the way from here
Can't you see the glow on the window pane?
I can feel the sun whenever you're near
Every time you touch me I just melt away
Now everybody asks me
Why I'm smiling out from ear to ear
(They say love hurts)
But I know
(It's gonna take the real work)
Nothing's perfect
But it's worth it after fighting through my tears
And finally you put me first
Baby it's you
You're the one I love
You're the one I need
You're the only one I see
Come on baby it's you
You're the one that gives your all
You're the one I can always call
When I need you make everything stop
Finally you put my love on top
Ooo come on baby
You put my love on top top top top top
You put my love on top
Ooo ooo come on baby
You put my love on top top top top top
My love on top
My love on top
Come on baby
I can feel the wind whipping past my face
As we dance the night away
Boy your lips taste like a night of champagne
As I kiss you again and again
And again and again
Now everybody asks me
Why I'm smiling out from ear to ear
(They say love hurts)
But I know
(It's gonna take the real work)
Nothing's perfect
But it's worth it after fighting through my tears
And finally you put me first
Baby it's you
You're the one I love
You're the one I need
You're the only one I see
Come on baby it's you
You're the one that gives your all
You're the one I can always call
When I need you make everything stop
Finally you put my love on top
Ooo baby
You put my love on top top top top top
You put my love on top
Ooo ooo come on baby
You put my love on top top top top top
My love on top
Baby it's you
You're the one I love
You're the one I need
You're the only thing I see
Come on baby it's you
You're the one that gives your all
You're the one I that always calls
When I need you baby everything stops
Finally you put my love on top
The one I love
Baby you're all I need
You're the only one I see
Come on baby it's you
You're the one that gives your all
You're the one I always call
When I need you everything stops
Finally you put my love on top
Baby
Cuz you're the one that I love
You're the one that I need
You're the only thing I see
Baby baby it's you
You're the one that gives your all
You're the one that always calls
When I need you everything stops
Finally you put my love on top
Baby
Cuz you're the one that I love
You're the one that I need
You're the only thing I see
Baby baby it's you
You're the one that gives your all
You're the one that always calls
When I need you everything stops
Finally you put my love on top"
9,ONLY,32321826,,S9UV-5KqP44,이하이,ONLY,https://image.bugsm.co.kr/album/images/500/204175/20417524.jpg,32321826,04:00,"Be my only one
이렇게 부르고 싶은 이름 내 곁에
손을 잡고서 같이 걸어요
비가 오는 밤에도 외로웠던 낮에도
그대 환한 빛깔을 내게 가득 칠해줘요
내가 더 잘할게요 이렇게 같이 있어준다면
Now I believe
라랄라랄라라 부르는 노래
찾고 찾고 찾아 헤매이던 그대와
My oh my oh my oh 내 사랑
Be my only love
걸어 걸어가는 발걸음마다
기분 좋아 꼭 둘이서 추는 춤 같아
My oh my oh my oh 내 사랑
Be my only love
Be my only one
이제는 숨기지 않고도 말할 수 있어
그렇게나 말하고 싶던 I say I love you
쉬고 싶은 밤에도 바쁘던 아침에도
그대 내게 쉴 곳을 마음속에 마련해요
내가 더 잘할게요 그 맘을 내게 나눠준다면
Now I believe
라랄라랄라라 부르는 노래
찾고 찾고 찾아 헤매이던 그대와
My oh my oh 내 사랑 Be my only love
My only one 그대를 보면
기대고 싶어 가지고 싶어
이 사랑이라면 어설픈 꿈도
이뤄질 것 같은데
Now I believe
걸어걸어 가는 발걸음마다
기분 좋아 꼭 둘이서 추는 춤 같아
My oh my oh my oh 내 사랑
Be my only love
'My only one'"
10,OHAYO MY NIGHT,31947650,,N6ElB8ysTXM,디핵(D-Hack),OHAYO MY NIGHT,https://image.bugsm.co.kr/album/images/500/203326/20332694.jpg,31947650,03:58,"너를 사랑하고 있어
너를 사랑하고 있어
자기야 날 사랑해주면 안 될까?
말처럼 쉽지는 않은 걸 알지만
세게 날 안아주면 안 될까?
오늘따라 세상이 무섭단 말이야
잠깐 인공호흡을 해주라
왠지 숨이 잘 안 쉬어져서 난
날 놓을 거면 과거에 놔주라
네가 있는 시간에서 죽어갈 거야
우리 그냥 결혼하면 안 될까?
돈은 내가 열심히 벌 테니까
이 세상과 내가 눈감는 날
까지만 날 사랑한다 말해주라
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본 내 우주에게 물어본
말은 나를 사랑하면 안 될까?
오사카나 오키나와의 바다
내 뮤비들을 찍었던 곳 말이야
같이 가자 약속했었잖아
그 약속이 깨질까 봐 겁이 나
WHUTUF이 결혼한다 하던 날
진짜 처음으로 걔가 부럽더라
하얀 웨딩드레스를 입은 아름다운
너와 영원을 말할 수 있을까?
가족이 되어주라
내 집이 되어주라
나도 날 줄 테니 너도 널 주라
평생의 연인이야
네 말대로 말이야
그래 별과 우주잖아
날 사랑하지 않는다면
나의 사랑 반을 받아
남은 사랑의 반도
내가 채워줄 거야 꼭
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본 내 우주에게 물어본
말은 나를 사랑하면 안 될까?
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본 내 우주에게 물어본
말은 나를 사랑하면 안 될까?"
13,비상,74600,,1jSPYwGscJ0,임재범,Desire To Fly,https://image.bugsm.co.kr/album/images/500/46/4657.jpg,74600,04:29,"누구나 한번쯤은 자기만의 세계로
빠져들게 되는 순간이 있지
그렇지만 나는 제자리로 오지 못했어
되돌아 나오는 길을 모르니

너무 많은 생각과 너무 많은 걱정에
온통 내자신을 가둬두었지
이젠 이런 내모습 나조차 불안해 보여
어디부터 시작할지 몰라서

나도 세상에 나가고 싶어
당당히 내 꿈들을 보여줘야 해
그토록 오랫동안 움츠렸던 날개
하늘로 더 넓게 펼쳐 보이며 날고싶어

감당할 수 없어서 버려둔 그 모든건
나를 기다리지 않고 떠났지
그렇게 많은 걸 잃었지만 후회는 없어
그래서 더 멀리 갈 수 있다면

상처받는 것보단 혼자를 택한거지
고독이 꼭 나쁜 것은 아니야 
외로움은 나에게 누구도 말하지 않은
소중한 것 깨닫게 했으니까

이젠 세상에 나갈 수 있어
당당히 내 꿈들을 보여줄거야
그토록 오랫동안 움츠렸던 날개
하늘로 더 넓게 펼쳐 보이며

다시 새롭게 시작할거야
더이상 아무것도 피하지 않아
이세상 견뎌낼 그 힘이 되줄거야
힘겨웠던 방황은
"
14,고백,6127040,,UhY0x9jN_uE,멜로망스(MeloMance),세 번째 '고백',https://image.bugsm.co.kr/album/images/500/40643/4064302.jpg,6127040,03:54,"달이 차고 내 마음도 차고
이대로 담아 두기엔
너무 안타까워
너를 향해 가는데
달은 내게 오라 손짓하고
귓속에 얘길 하네
지금 이 순간이
바로 그 순간이야
제일 마음에 드는 옷을 입고
노란 꽃 한 송이를 손에 들고
널 바라 보다 그만
나도 모르게 웃어버렸네
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데
사랑한다는
그 흔한 말이 아니야
그 보단 더욱더 로맨틱하고
달콤한 말을 준비했단 말야
숨이 차고 밤 공기도 차고
두 눈을 감아야만
네 모습이 보여
걸을 수가 없는데
구름 위를 걷는다는 말이
과장이 아니란 걸 알게 됐어
널 알게 된 후부터 나의 모든 건
다 달라졌어
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데
사랑한다는 그 흔한 말이 아니야
그 보단 더욱더 로맨틱하고
달콤한 말을 준비했단 말야
나를 봐줘요 내 말을 들어봐 줘요
아무리 생각을 하고 또 해도
믿어지지 않을 만큼 사랑해"
